,micrograph,created_at,_rlnCtfFigureOfMerit #11,_rlnDefocusAngle #5,_rlnCtfMaxResolution #12,motioncor_aligned_no_DW,gctf_ctf_fit,motioncor_log,gctf_epa_log,Defocus_U,_rlnDetectorPixelSize #10,Defocus_V,_rlnVoltage #6,Resolution,_rlnDefocusU #3,_rlnSphericalAberration #7,_rlnPhaseShift #13,_rlnMagnification #9,Angle,_rlnAmplitudeContrast #8,_rlnCtfImage #2,_rlnMicrographName #1,gctf_log,_rlnDefocusV #4,motioncor_aligned_DW,Defocus,delta_Defocus
10,20S_458_Mar29_09.09.51,2017-12-15 14:24:56.055573,0.027160000000000004,16.214491,2.901723,motioncor/20S_458_Mar29_09.09.51.mrc,gctf/20S_458_Mar29_09.09.51.ctf,motioncor/20S_458_Mar29_09.09.51_DriftCorr.log,gctf/20S_458_Mar29_09.09.51_EPA.log,4.56925,1.06,4.06771,300.0,2.97526,4569.254395,2.62,84.386452,10000.0,16.21,0.1,/home/viktor/Downloads/input/20S_458_Mar29_09.09.51/20S_458_Mar29_09.09.51.ctf:mrc,/home/viktor/Downloads/input/20S_458_Mar29_09.09.51/20S_458_Mar29_09.09.51.mrc,gctf/20S_458_Mar29_09.09.51_gctf.log,4067.7075200000004,motioncor/20S_458_Mar29_09.09.51_DW.mrc,4.318479999999999,0.5015400000000003
11,20S_457_Mar29_09.07.26,2017-12-15 14:25:26.343131,0.029393,16.699446,3.091729,motioncor/20S_457_Mar29_09.07.26.mrc,gctf/20S_457_Mar29_09.07.26.ctf,motioncor/20S_457_Mar29_09.07.26_DriftCorr.log,gctf/20S_457_Mar29_09.07.26_EPA.log,5.21669,1.06,4.67957,300.0,3.346595,5216.686522999999,2.62,91.622055,10000.0,16.7,0.1,/home/viktor/Downloads/input/20S_457_Mar29_09.07.26/20S_457_Mar29_09.07.26.ctf:mrc,/home/viktor/Downloads/input/20S_457_Mar29_09.07.26/20S_457_Mar29_09.07.26.mrc,gctf/20S_457_Mar29_09.07.26_gctf.log,4679.569336,motioncor/20S_457_Mar29_09.07.26_DW.mrc,4.948129999999999,0.5371199999999998
12,20S_456_Mar29_09.05.01,2017-12-15 14:25:56.635088,0.031545,18.575787,3.044064,motioncor/20S_456_Mar29_09.05.01.mrc,gctf/20S_456_Mar29_09.05.01.ctf,motioncor/20S_456_Mar29_09.05.01_DriftCorr.log,gctf/20S_456_Mar29_09.05.01_EPA.log,6.1396000000000015,1.06,5.5430600000000005,300.0,3.616886,6139.600586,2.62,88.358215,10000.0,18.58,0.1,/home/viktor/Downloads/input/20S_456_Mar29_09.05.01/20S_456_Mar29_09.05.01.ctf:mrc,/home/viktor/Downloads/input/20S_456_Mar29_09.05.01/20S_456_Mar29_09.05.01.mrc,gctf/20S_456_Mar29_09.05.01_gctf.log,5543.055664,motioncor/20S_456_Mar29_09.05.01_DW.mrc,5.84133,0.5965400000000001
13,20S_455_Mar29_09.02.28,2017-12-15 14:26:26.913503,0.020763999999999998,18.905383999999998,2.786325,motioncor/20S_455_Mar29_09.02.28.mrc,gctf/20S_455_Mar29_09.02.28.ctf,motioncor/20S_455_Mar29_09.02.28_DriftCorr.log,gctf/20S_455_Mar29_09.02.28_EPA.log,4.05754,1.06,3.5227600000000003,300.0,3.398967,4057.538574,2.62,97.412163,10000.0,18.91,0.1,/home/viktor/Downloads/input/20S_455_Mar29_09.02.28/20S_455_Mar29_09.02.28.ctf:mrc,/home/viktor/Downloads/input/20S_455_Mar29_09.02.28/20S_455_Mar29_09.02.28.mrc,gctf/20S_455_Mar29_09.02.28_gctf.log,3522.7631840000004,motioncor/20S_455_Mar29_09.02.28_DW.mrc,3.79015,0.53478
14,20S_454_Mar29_09.00.02,2017-12-15 14:26:57.183380,0.012570999999999999,13.681331,2.97526,motioncor/20S_454_Mar29_09.00.02.mrc,gctf/20S_454_Mar29_09.00.02.ctf,motioncor/20S_454_Mar29_09.00.02_DriftCorr.log,gctf/20S_454_Mar29_09.00.02_EPA.log,3.2928300000000004,1.06,2.8246100000000003,300.0,3.298314,3292.830811,2.62,89.627914,10000.0,13.68,0.1,/home/viktor/Downloads/input/20S_454_Mar29_09.00.02/20S_454_Mar29_09.00.02.ctf:mrc,/home/viktor/Downloads/input/20S_454_Mar29_09.00.02/20S_454_Mar29_09.00.02.mrc,gctf/20S_454_Mar29_09.00.02_gctf.log,2824.614502,motioncor/20S_454_Mar29_09.00.02_DW.mrc,3.05872,0.4682199999999997
15,20S_453_Mar29_08.57.37,2017-12-15 14:27:27.536242,0.021941,15.500487,2.723436,motioncor/20S_453_Mar29_08.57.37.mrc,gctf/20S_453_Mar29_08.57.37.ctf,motioncor/20S_453_Mar29_08.57.37_DriftCorr.log,gctf/20S_453_Mar29_08.57.37_EPA.log,3.9359900000000003,1.06,3.4134599999999997,300.0,2.833581,3935.9941409999997,2.62,84.377625,10000.0,15.5,0.1,/home/viktor/Downloads/input/20S_453_Mar29_08.57.37/20S_453_Mar29_08.57.37.ctf:mrc,/home/viktor/Downloads/input/20S_453_Mar29_08.57.37/20S_453_Mar29_08.57.37.mrc,gctf/20S_453_Mar29_08.57.37_gctf.log,3413.4643549999996,motioncor/20S_453_Mar29_08.57.37_DW.mrc,3.674725,0.5225299999999997
16,20S_452_Mar29_08.55.11,2017-12-15 14:27:57.864783,0.028106,15.32952,2.556727,motioncor/20S_452_Mar29_08.55.11.mrc,gctf/20S_452_Mar29_08.55.11.ctf,motioncor/20S_452_Mar29_08.55.11_DriftCorr.log,gctf/20S_452_Mar29_08.55.11_EPA.log,5.17471,1.06,4.64193,300.0,2.931093,5174.710449,2.62,78.254837,10000.0,15.33,0.1,/home/viktor/Downloads/input/20S_452_Mar29_08.55.11/20S_452_Mar29_08.55.11.ctf:mrc,/home/viktor/Downloads/input/20S_452_Mar29_08.55.11/20S_452_Mar29_08.55.11.mrc,gctf/20S_452_Mar29_08.55.11_gctf.log,4641.930176,motioncor/20S_452_Mar29_08.55.11_DW.mrc,4.90832,0.5327799999999998
17,20S_451_Mar29_08.52.45,2017-12-15 14:28:28.175052,0.0259,15.575044,2.3986080000000003,motioncor/20S_451_Mar29_08.52.45.mrc,gctf/20S_451_Mar29_08.52.45.ctf,motioncor/20S_451_Mar29_08.52.45_DriftCorr.log,gctf/20S_451_Mar29_08.52.45_EPA.log,5.04524,1.06,4.51233,300.0,3.004066,5045.236816,2.62,66.54789699999999,10000.0,15.58,0.1,/home/viktor/Downloads/input/20S_451_Mar29_08.52.45/20S_451_Mar29_08.52.45.ctf:mrc,/home/viktor/Downloads/input/20S_451_Mar29_08.52.45/20S_451_Mar29_08.52.45.mrc,gctf/20S_451_Mar29_08.52.45_gctf.log,4512.334473,motioncor/20S_451_Mar29_08.52.45_DW.mrc,4.778785,0.5329100000000002
18,20S_450_Mar29_08.50.20,2017-12-15 14:28:58.473342,0.016996,13.963557000000002,2.629467,motioncor/20S_450_Mar29_08.50.20.mrc,gctf/20S_450_Mar29_08.50.20.ctf,motioncor/20S_450_Mar29_08.50.20_DriftCorr.log,gctf/20S_450_Mar29_08.50.20_EPA.log,3.53064,1.06,3.06868,300.0,3.033436,3530.638428,2.62,79.520569,10000.0,13.96,0.1,/home/viktor/Downloads/input/20S_450_Mar29_08.50.20/20S_450_Mar29_08.50.20.ctf:mrc,/home/viktor/Downloads/input/20S_450_Mar29_08.50.20/20S_450_Mar29_08.50.20.mrc,gctf/20S_450_Mar29_08.50.20_gctf.log,3068.675537,motioncor/20S_450_Mar29_08.50.20_DW.mrc,3.29966,0.4619600000000004
19,20S_449_Mar29_08.47.55,2017-12-15 14:29:28.942139,0.0070739999999999996,14.214931,2.8207009999999997,motioncor/20S_449_Mar29_08.47.55.mrc,gctf/20S_449_Mar29_08.47.55.ctf,motioncor/20S_449_Mar29_08.47.55_DriftCorr.log,gctf/20S_449_Mar29_08.47.55_EPA.log,2.9851,1.06,2.4609799999999997,300.0,3.129596,2985.103027,2.62,74.469452,10000.0,14.21,0.1,/home/viktor/Downloads/input/20S_449_Mar29_08.47.55/20S_449_Mar29_08.47.55.ctf:mrc,/home/viktor/Downloads/input/20S_449_Mar29_08.47.55/20S_449_Mar29_08.47.55.mrc,gctf/20S_449_Mar29_08.47.55_gctf.log,2460.9770510000003,motioncor/20S_449_Mar29_08.47.55_DW.mrc,2.72304,0.5241199999999999
20,20S_448_Mar29_08.45.31,2017-12-15 14:29:59.421267,0.008523000000000001,15.334389999999999,3.027094,motioncor/20S_448_Mar29_08.45.31.mrc,gctf/20S_448_Mar29_08.45.31.ctf,motioncor/20S_448_Mar29_08.45.31_DriftCorr.log,gctf/20S_448_Mar29_08.45.31_EPA.log,2.91635,1.06,2.4134700000000002,300.0,3.258725,2916.353027,2.62,71.199203,10000.0,15.33,0.1,/home/viktor/Downloads/input/20S_448_Mar29_08.45.31/20S_448_Mar29_08.45.31.ctf:mrc,/home/viktor/Downloads/input/20S_448_Mar29_08.45.31/20S_448_Mar29_08.45.31.mrc,gctf/20S_448_Mar29_08.45.31_gctf.log,2413.4682620000003,motioncor/20S_448_Mar29_08.45.31_DW.mrc,2.66491,0.5028800000000002
