,micrograph,created_at,_rlnCtfFigureOfMerit #11,_rlnDefocusAngle #5,_rlnCtfMaxResolution #12,motioncor_aligned_no_DW,gctf_ctf_fit,motioncor_log,gctf_epa_log,Defocus_U,_rlnDetectorPixelSize #10,Defocus_V,_rlnVoltage #6,Resolution,_rlnDefocusU #3,_rlnSphericalAberration #7,_rlnPhaseShift #13,_rlnMagnification #9,Angle,_rlnAmplitudeContrast #8,_rlnCtfImage #2,_rlnMicrographName #1,gctf_log,_rlnDefocusV #4,motioncor_aligned_DW,Defocus,delta_Defocus
21,20S_447_Mar29_08.43.06,2017-12-15 14:30:30.055343,0.020321000000000002,14.152497,2.604244,motioncor/20S_447_Mar29_08.43.06.mrc,gctf/20S_447_Mar29_08.43.06.ctf,motioncor/20S_447_Mar29_08.43.06_DriftCorr.log,gctf/20S_447_Mar29_08.43.06_EPA.log,3.5227,1.06,3.01373,300.0,3.093931,3522.695068,2.62,59.210159,10000.0,14.15,0.1,/home/viktor/Downloads/input/20S_447_Mar29_08.43.06/20S_447_Mar29_08.43.06.ctf:mrc,/home/viktor/Downloads/input/20S_447_Mar29_08.43.06/20S_447_Mar29_08.43.06.mrc,gctf/20S_447_Mar29_08.43.06_gctf.log,3013.72876,motioncor/20S_447_Mar29_08.43.06_DW.mrc,3.268215,0.5089700000000001
22,20S_446_Mar29_08.40.39,2017-12-15 14:31:00.986848,0.032974,16.305307,2.309346,motioncor/20S_446_Mar29_08.40.39.mrc,gctf/20S_446_Mar29_08.40.39.ctf,motioncor/20S_446_Mar29_08.40.39_DriftCorr.log,gctf/20S_446_Mar29_08.40.39_EPA.log,4.753970000000002,1.06,4.21275,300.0,2.653561,4753.973633,2.62,56.140648,10000.0,16.31,0.1,/home/viktor/Downloads/input/20S_446_Mar29_08.40.39/20S_446_Mar29_08.40.39.ctf:mrc,/home/viktor/Downloads/input/20S_446_Mar29_08.40.39/20S_446_Mar29_08.40.39.mrc,gctf/20S_446_Mar29_08.40.39_gctf.log,4212.751953,motioncor/20S_446_Mar29_08.40.39_DW.mrc,4.48336,0.5412200000000009
23,20S_445_Mar29_08.38.15,2017-12-15 14:31:32.105907,0.027864999999999997,16.465363,2.775642,motioncor/20S_445_Mar29_08.38.15.mrc,gctf/20S_445_Mar29_08.38.15.ctf,motioncor/20S_445_Mar29_08.38.15_DriftCorr.log,gctf/20S_445_Mar29_08.38.15_EPA.log,5.32607,1.06,4.73094,300.0,3.466784,5326.068848,2.62,47.152054,10000.0,16.47,0.1,/home/viktor/Downloads/input/20S_445_Mar29_08.38.15/20S_445_Mar29_08.38.15.ctf:mrc,/home/viktor/Downloads/input/20S_445_Mar29_08.38.15/20S_445_Mar29_08.38.15.mrc,gctf/20S_445_Mar29_08.38.15_gctf.log,4730.938965,motioncor/20S_445_Mar29_08.38.15_DW.mrc,5.028504999999999,0.5951300000000002
24,20S_444_Mar29_08.35.50,2017-12-15 14:32:03.021560,0.029944,16.570601999999997,2.365948,motioncor/20S_444_Mar29_08.35.50.mrc,gctf/20S_444_Mar29_08.35.50.ctf,motioncor/20S_444_Mar29_08.35.50_DriftCorr.log,gctf/20S_444_Mar29_08.35.50_EPA.log,5.26117,1.06,4.71841,300.0,3.203451,5261.169922,2.62,35.545506,10000.0,16.57,0.1,/home/viktor/Downloads/input/20S_444_Mar29_08.35.50/20S_444_Mar29_08.35.50.ctf:mrc,/home/viktor/Downloads/input/20S_444_Mar29_08.35.50/20S_444_Mar29_08.35.50.mrc,gctf/20S_444_Mar29_08.35.50_gctf.log,4718.410156,motioncor/20S_444_Mar29_08.35.50_DW.mrc,4.98979,0.5427600000000004
25,20S_443_Mar29_08.33.24,2017-12-15 14:32:33.928609,0.035345999999999995,16.455547,2.892064,motioncor/20S_443_Mar29_08.33.24.mrc,gctf/20S_443_Mar29_08.33.24.ctf,motioncor/20S_443_Mar29_08.33.24_DriftCorr.log,gctf/20S_443_Mar29_08.33.24_EPA.log,6.34736,1.06,5.75154,300.0,3.303331,6347.362793,2.62,29.869493,10000.0,16.46,0.1,/home/viktor/Downloads/input/20S_443_Mar29_08.33.24/20S_443_Mar29_08.33.24.ctf:mrc,/home/viktor/Downloads/input/20S_443_Mar29_08.33.24/20S_443_Mar29_08.33.24.mrc,gctf/20S_443_Mar29_08.33.24_gctf.log,5751.54248,motioncor/20S_443_Mar29_08.33.24_DW.mrc,6.04945,0.5958199999999998
26,20S_442_Mar29_08.31.06,2017-12-15 14:33:04.394673,0.026784,35.009215999999995,2.701418,motioncor/20S_442_Mar29_08.31.06.mrc,gctf/20S_442_Mar29_08.31.06.ctf,motioncor/20S_442_Mar29_08.31.06_DriftCorr.log,gctf/20S_442_Mar29_08.31.06_EPA.log,3.81227,1.06,3.5960300000000003,300.0,3.048337,3812.2692869999996,2.62,125.058945,10000.0,35.01,0.1,/home/viktor/Downloads/input/20S_442_Mar29_08.31.06/20S_442_Mar29_08.31.06.ctf:mrc,/home/viktor/Downloads/input/20S_442_Mar29_08.31.06/20S_442_Mar29_08.31.06.mrc,gctf/20S_442_Mar29_08.31.06_gctf.log,3596.032471,motioncor/20S_442_Mar29_08.31.06_DW.mrc,3.70415,0.21623999999999954
27,20S_441_Mar29_08.28.40,2017-12-15 14:33:34.862225,0.022134,39.736328,2.833581,motioncor/20S_441_Mar29_08.28.40.mrc,gctf/20S_441_Mar29_08.28.40.ctf,motioncor/20S_441_Mar29_08.28.40_DriftCorr.log,gctf/20S_441_Mar29_08.28.40_EPA.log,3.50525,1.06,3.30185,300.0,3.00199,3505.247314,2.62,120.58242800000001,10000.0,39.74,0.1,/home/viktor/Downloads/input/20S_441_Mar29_08.28.40/20S_441_Mar29_08.28.40.ctf:mrc,/home/viktor/Downloads/input/20S_441_Mar29_08.28.40/20S_441_Mar29_08.28.40.mrc,gctf/20S_441_Mar29_08.28.40_gctf.log,3301.849365,motioncor/20S_441_Mar29_08.28.40_DW.mrc,3.40355,0.20340000000000025
28,20S_440_Mar29_08.26.15,2017-12-15 14:34:05.320368,0.03098,33.827896,2.696387,motioncor/20S_440_Mar29_08.26.15.mrc,gctf/20S_440_Mar29_08.26.15.ctf,motioncor/20S_440_Mar29_08.26.15_DriftCorr.log,gctf/20S_440_Mar29_08.26.15_EPA.log,4.40916,1.06,4.19865,300.0,2.9134,4409.164062,2.62,123.26723500000001,10000.0,33.83,0.1,/home/viktor/Downloads/input/20S_440_Mar29_08.26.15/20S_440_Mar29_08.26.15.ctf:mrc,/home/viktor/Downloads/input/20S_440_Mar29_08.26.15/20S_440_Mar29_08.26.15.mrc,gctf/20S_440_Mar29_08.26.15_gctf.log,4198.650390999999,motioncor/20S_440_Mar29_08.26.15_DW.mrc,4.3039049999999985,0.2105100000000002
29,20S_438_Mar29_08.21.25,2017-12-15 14:34:35.838583,0.027844,39.502373,2.901723,motioncor/20S_438_Mar29_08.21.25.mrc,gctf/20S_438_Mar29_08.21.25.ctf,motioncor/20S_438_Mar29_08.21.25_DriftCorr.log,gctf/20S_438_Mar29_08.21.25_EPA.log,4.71518,1.06,4.481,300.0,3.412317,4715.184082,2.62,115.583023,10000.0,39.5,0.1,/home/viktor/Downloads/input/20S_438_Mar29_08.21.25/20S_438_Mar29_08.21.25.ctf:mrc,/home/viktor/Downloads/input/20S_438_Mar29_08.21.25/20S_438_Mar29_08.21.25.mrc,gctf/20S_438_Mar29_08.21.25_gctf.log,4480.997559,motioncor/20S_438_Mar29_08.21.25_DW.mrc,4.59809,0.2341800000000003
30,20S_437_Mar29_08.18.59,2017-12-15 14:35:06.302355,0.018647999999999998,30.334808000000002,2.626288,motioncor/20S_437_Mar29_08.18.59.mrc,gctf/20S_437_Mar29_08.18.59.ctf,motioncor/20S_437_Mar29_08.18.59_DriftCorr.log,gctf/20S_437_Mar29_08.18.59_EPA.log,3.5240699999999996,1.06,3.33,300.0,2.648707,3524.0661619999996,2.62,112.820374,10000.0,30.33,0.1,/home/viktor/Downloads/input/20S_437_Mar29_08.18.59/20S_437_Mar29_08.18.59.ctf:mrc,/home/viktor/Downloads/input/20S_437_Mar29_08.18.59/20S_437_Mar29_08.18.59.mrc,gctf/20S_437_Mar29_08.18.59_gctf.log,3330.002197,motioncor/20S_437_Mar29_08.18.59_DW.mrc,3.427035,0.19407
31,20S_436_Mar29_08.16.34,2017-12-15 14:35:36.752863,0.010023,36.265716999999995,2.804312,motioncor/20S_436_Mar29_08.16.34.mrc,gctf/20S_436_Mar29_08.16.34.ctf,motioncor/20S_436_Mar29_08.16.34_DriftCorr.log,gctf/20S_436_Mar29_08.16.34_EPA.log,2.95669,1.06,2.80158,300.0,3.175351,2956.688721,2.62,122.719574,10000.0,36.27,0.1,/home/viktor/Downloads/input/20S_436_Mar29_08.16.34/20S_436_Mar29_08.16.34.ctf:mrc,/home/viktor/Downloads/input/20S_436_Mar29_08.16.34/20S_436_Mar29_08.16.34.mrc,gctf/20S_436_Mar29_08.16.34_gctf.log,2801.575439,motioncor/20S_436_Mar29_08.16.34_DW.mrc,2.8791349999999998,0.15511000000000008
32,20S_435_Mar29_08.14.09,2017-12-15 14:36:07.219827,0.011148,32.956032,2.846579,motioncor/20S_435_Mar29_08.14.09.mrc,gctf/20S_435_Mar29_08.14.09.ctf,motioncor/20S_435_Mar29_08.14.09_DriftCorr.log,gctf/20S_435_Mar29_08.14.09_EPA.log,3.0682600000000004,1.06,2.8536,300.0,2.9370380000000003,3068.262207,2.62,100.829002,10000.0,32.96,0.1,/home/viktor/Downloads/input/20S_435_Mar29_08.14.09/20S_435_Mar29_08.14.09.ctf:mrc,/home/viktor/Downloads/input/20S_435_Mar29_08.14.09/20S_435_Mar29_08.14.09.mrc,gctf/20S_435_Mar29_08.14.09_gctf.log,2853.6015620000003,motioncor/20S_435_Mar29_08.14.09_DW.mrc,2.9609300000000003,0.21466000000000074
