micrograph,created_at,_rlnCtfFigureOfMerit #11,_rlnDefocusAngle #5,_rlnCtfMaxResolution #12,motioncor_aligned_no_DW,gctf_ctf_fit,motioncor_log,gctf_epa_log,Defocus_U,_rlnDetectorPixelSize #10,Defocus_V,_rlnVoltage #6,Phase_shift,Resolution,_rlnDefocusU #3,_rlnSphericalAberration #7,_rlnPhaseShift #13,_rlnMagnification #9,Angle,_rlnAmplitudeContrast #8,_rlnCtfImage #2,_rlnMicrographName #1,gctf_log,_rlnDefocusV #4,motioncor_aligned_DW,Defocus,delta_Defocus
20S_458_Mar29_09.09.51,2017-12-15 14:24:56.055573,0.027160,16.214491,2.901723,motioncor/20S_458_Mar29_09.09.51.mrc,gctf/20S_458_Mar29_09.09.51.ctf,motioncor/20S_458_Mar29_09.09.51_DriftCorr.log,gctf/20S_458_Mar29_09.09.51_EPA.log,4.56925,1.060000,4.06771,300.000000,0.4688333333333333,2.97526,4569.254395,2.620000,84.386452,10000.000000,16.21,0.100000,/home/viktor/Downloads/input/20S_458_Mar29_09.09.51/20S_458_Mar29_09.09.51.ctf:mrc,/home/viktor/Downloads/input/20S_458_Mar29_09.09.51/20S_458_Mar29_09.09.51.mrc,gctf/20S_458_Mar29_09.09.51_gctf.log,4067.707520,motioncor/20S_458_Mar29_09.09.51_DW.mrc,4.318479999999999,0.5015400000000003
20S_457_Mar29_09.07.26,2017-12-15 14:25:26.343131,0.029393,16.699446,3.091729,motioncor/20S_457_Mar29_09.07.26.mrc,gctf/20S_457_Mar29_09.07.26.ctf,motioncor/20S_457_Mar29_09.07.26_DriftCorr.log,gctf/20S_457_Mar29_09.07.26_EPA.log,5.21669,1.060000,4.67957,300.000000,0.509,3.3465949999999998,5216.686523,2.620000,91.622055,10000.000000,16.7,0.100000,/home/viktor/Downloads/input/20S_457_Mar29_09.07.26/20S_457_Mar29_09.07.26.ctf:mrc,/home/viktor/Downloads/input/20S_457_Mar29_09.07.26/20S_457_Mar29_09.07.26.mrc,gctf/20S_457_Mar29_09.07.26_gctf.log,4679.569336,motioncor/20S_457_Mar29_09.07.26_DW.mrc,4.948129999999999,0.5371199999999998
20S_456_Mar29_09.05.01,2017-12-15 14:25:56.635088,0.031545,18.575787,3.044064,motioncor/20S_456_Mar29_09.05.01.mrc,gctf/20S_456_Mar29_09.05.01.ctf,motioncor/20S_456_Mar29_09.05.01_DriftCorr.log,gctf/20S_456_Mar29_09.05.01_EPA.log,6.139600000000001,1.060000,5.5430600000000005,300.000000,0.4908888888888889,3.616886,6139.600586,2.620000,88.358215,10000.000000,18.58,0.100000,/home/viktor/Downloads/input/20S_456_Mar29_09.05.01/20S_456_Mar29_09.05.01.ctf:mrc,/home/viktor/Downloads/input/20S_456_Mar29_09.05.01/20S_456_Mar29_09.05.01.mrc,gctf/20S_456_Mar29_09.05.01_gctf.log,5543.055664,motioncor/20S_456_Mar29_09.05.01_DW.mrc,5.84133,0.5965400000000001
20S_455_Mar29_09.02.28,2017-12-15 14:26:26.913503,0.020764,18.905384,2.786325,motioncor/20S_455_Mar29_09.02.28.mrc,gctf/20S_455_Mar29_09.02.28.ctf,motioncor/20S_455_Mar29_09.02.28_DriftCorr.log,gctf/20S_455_Mar29_09.02.28_EPA.log,4.05754,1.060000,3.5227600000000003,300.000000,0.5411666666666667,3.398967,4057.538574,2.620000,97.412163,10000.000000,18.91,0.100000,/home/viktor/Downloads/input/20S_455_Mar29_09.02.28/20S_455_Mar29_09.02.28.ctf:mrc,/home/viktor/Downloads/input/20S_455_Mar29_09.02.28/20S_455_Mar29_09.02.28.mrc,gctf/20S_455_Mar29_09.02.28_gctf.log,3522.763184,motioncor/20S_455_Mar29_09.02.28_DW.mrc,3.79015,0.53478
20S_454_Mar29_09.00.02,2017-12-15 14:26:57.183380,0.012571,13.681331,2.975260,motioncor/20S_454_Mar29_09.00.02.mrc,gctf/20S_454_Mar29_09.00.02.ctf,motioncor/20S_454_Mar29_09.00.02_DriftCorr.log,gctf/20S_454_Mar29_09.00.02_EPA.log,3.29283,1.060000,2.8246100000000003,300.000000,0.4979444444444444,3.298314,3292.830811,2.620000,89.627914,10000.000000,13.68,0.100000,/home/viktor/Downloads/input/20S_454_Mar29_09.00.02/20S_454_Mar29_09.00.02.ctf:mrc,/home/viktor/Downloads/input/20S_454_Mar29_09.00.02/20S_454_Mar29_09.00.02.mrc,gctf/20S_454_Mar29_09.00.02_gctf.log,2824.614502,motioncor/20S_454_Mar29_09.00.02_DW.mrc,3.05872,0.46821999999999964
20S_453_Mar29_08.57.37,2017-12-15 14:27:27.536242,0.021941,15.500487,2.723436,motioncor/20S_453_Mar29_08.57.37.mrc,gctf/20S_453_Mar29_08.57.37.ctf,motioncor/20S_453_Mar29_08.57.37_DriftCorr.log,gctf/20S_453_Mar29_08.57.37_EPA.log,3.93599,1.060000,3.41346,300.000000,0.46877777777777774,2.833581,3935.994141,2.620000,84.377625,10000.000000,15.5,0.100000,/home/viktor/Downloads/input/20S_453_Mar29_08.57.37/20S_453_Mar29_08.57.37.ctf:mrc,/home/viktor/Downloads/input/20S_453_Mar29_08.57.37/20S_453_Mar29_08.57.37.mrc,gctf/20S_453_Mar29_08.57.37_gctf.log,3413.464355,motioncor/20S_453_Mar29_08.57.37_DW.mrc,3.674725,0.5225299999999997
20S_452_Mar29_08.55.11,2017-12-15 14:27:57.864783,0.028106,15.329520,2.556727,motioncor/20S_452_Mar29_08.55.11.mrc,gctf/20S_452_Mar29_08.55.11.ctf,motioncor/20S_452_Mar29_08.55.11_DriftCorr.log,gctf/20S_452_Mar29_08.55.11_EPA.log,5.17471,1.060000,4.64193,300.000000,0.43472222222222223,2.931093,5174.710449,2.620000,78.254837,10000.000000,15.33,0.100000,/home/viktor/Downloads/input/20S_452_Mar29_08.55.11/20S_452_Mar29_08.55.11.ctf:mrc,/home/viktor/Downloads/input/20S_452_Mar29_08.55.11/20S_452_Mar29_08.55.11.mrc,gctf/20S_452_Mar29_08.55.11_gctf.log,4641.930176,motioncor/20S_452_Mar29_08.55.11_DW.mrc,4.90832,0.5327799999999998
20S_451_Mar29_08.52.45,2017-12-15 14:28:28.175052,0.025900,15.575044,2.398608,motioncor/20S_451_Mar29_08.52.45.mrc,gctf/20S_451_Mar29_08.52.45.ctf,motioncor/20S_451_Mar29_08.52.45_DriftCorr.log,gctf/20S_451_Mar29_08.52.45_EPA.log,5.04524,1.060000,4.5123299999999995,300.000000,0.36972222222222223,3.004066,5045.236816,2.620000,66.547897,10000.000000,15.58,0.100000,/home/viktor/Downloads/input/20S_451_Mar29_08.52.45/20S_451_Mar29_08.52.45.ctf:mrc,/home/viktor/Downloads/input/20S_451_Mar29_08.52.45/20S_451_Mar29_08.52.45.mrc,gctf/20S_451_Mar29_08.52.45_gctf.log,4512.334473,motioncor/20S_451_Mar29_08.52.45_DW.mrc,4.778785,0.5329100000000002
20S_450_Mar29_08.50.20,2017-12-15 14:28:58.473342,0.016996,13.963557,2.629467,motioncor/20S_450_Mar29_08.50.20.mrc,gctf/20S_450_Mar29_08.50.20.ctf,motioncor/20S_450_Mar29_08.50.20_DriftCorr.log,gctf/20S_450_Mar29_08.50.20_EPA.log,3.53064,1.060000,3.0686799999999996,300.000000,0.44177777777777777,3.033436,3530.638428,2.620000,79.520569,10000.000000,13.96,0.100000,/home/viktor/Downloads/input/20S_450_Mar29_08.50.20/20S_450_Mar29_08.50.20.ctf:mrc,/home/viktor/Downloads/input/20S_450_Mar29_08.50.20/20S_450_Mar29_08.50.20.mrc,gctf/20S_450_Mar29_08.50.20_gctf.log,3068.675537,motioncor/20S_450_Mar29_08.50.20_DW.mrc,3.29966,0.46196000000000037
20S_449_Mar29_08.47.55,2017-12-15 14:29:28.942139,0.007074,14.214931,2.820701,motioncor/20S_449_Mar29_08.47.55.mrc,gctf/20S_449_Mar29_08.47.55.ctf,motioncor/20S_449_Mar29_08.47.55_DriftCorr.log,gctf/20S_449_Mar29_08.47.55_EPA.log,2.9851,1.060000,2.46098,300.000000,0.4137222222222222,3.129596,2985.103027,2.620000,74.469452,10000.000000,14.21,0.100000,/home/viktor/Downloads/input/20S_449_Mar29_08.47.55/20S_449_Mar29_08.47.55.ctf:mrc,/home/viktor/Downloads/input/20S_449_Mar29_08.47.55/20S_449_Mar29_08.47.55.mrc,gctf/20S_449_Mar29_08.47.55_gctf.log,2460.977051,motioncor/20S_449_Mar29_08.47.55_DW.mrc,2.72304,0.5241199999999999
